problem_id,problem_title,problem_url,difficulty_rating,pair_number,bug_category,bug_category_name,bug_description,correct_submission_id,buggy_submission_id,buggy_tests_passed
2157C,Meximum Array 2,https://codeforces.com/contest/2157/problem/C,1400,1,T8,I/O and Output Format,"The buggy solution uses inappropriate states to track conditions in the array, which leads to incorrect output values based on conditional logic surrounding the minimum and MEX requirements.",373208046,373207819,1
2157C,Meximum Array 2,https://codeforces.com/contest/2157/problem/C,1400,2,T8,I/O and Output Format,"The buggy solution has a flaw in the logic of filling values for the MEX condition, where it does not properly account for previously assigned numbers, which leads to incorrect outputs under certain conditions.",373000302,373000115,4
2157C,Meximum Array 2,https://codeforces.com/contest/2157/problem/C,1400,3,T5,Greedy / Algorithmic Flaw,"The buggy solution uses an incorrect approach for filling in values based on the MEX constraint, which leads to an incorrect array configuration preventing it from satisfying the requirements of the problem.",372913751,372913505,1
2157C,Meximum Array 2,https://codeforces.com/contest/2157/problem/C,1400,4,T3,Off-by-One / Boundary,"The buggy solution incorrectly processes the queries in the order they are given, rather than ensuring that all required elements are set correctly when processing constraints. This can lead to off-by-one errors, especially when setting values based on minimum or MEX requirements.",372907651,372907361,4
2157C,Meximum Array 2,https://codeforces.com/contest/2157/problem/C,1400,5,T5,Greedy / Algorithmic Flaw,"The buggy solution has a flawed greedy approach where it may not correctly populate the array with valid values based on the constraints from the queries, leading to an incorrect final array.",372777805,372777143,4
2157C,Meximum Array 2,https://codeforces.com/contest/2157/problem/C,1400,6,T4,Wrong Conditional Logic,"The buggy solution has flawed conditional logic when setting values based on the flags in the 'f' array, which leads to incorrect assignment of values in the resultant array. This directly affects the minimum and MEX constraints, ultimately yielding a wrong answer.",372715420,372713231,4
2157C,Meximum Array 2,https://codeforces.com/contest/2157/problem/C,1400,7,T6,State / Initialization,The buggy solution incorrectly initializes the `ban` and `b2` arrays with 1 and -1 instead of incrementing and decrementing their respective values. This leads to faulty conditional logic when checking if elements can equal k or not.,372666305,372666076,1
2157C,Meximum Array 2,https://codeforces.com/contest/2157/problem/C,1400,8,T6,State / Initialization,"The algorithm contains a flaw in its conditional logic when setting the values for the array based on the conditions. Specifically, it incorrectly calculates the values for the 'mex' condition, which leads to violating the required conditions specified in the problem statement.",372465419,372395482,4
2157C,Meximum Array 2,https://codeforces.com/contest/2157/problem/C,1400,9,T4,Wrong Conditional Logic,"The buggy solution incorrectly handles overlapping constraints for the 'min' and 'MEX' operations, leading to incorrect assignments to the array that violate the conditions set by the input queries.",372461487,372460432,4
2157C,Meximum Array 2,https://codeforces.com/contest/2157/problem/C,1400,10,T4,Wrong Conditional Logic,"The buggy solution introduces incorrect logic by setting elements marked as used but not constrained by the minimum or MEX requirements to 1e9, which violates the conditions for the 'Meximum Array' problem and leads to wrong answers.",372393170,372392873,4
